HOT669 SEQF2286 1 1 1529	Neisseria meningitidis H44/76	GCA_000185025.2_ASM18502v2
HOT827 SEQF1082 7 7 1489	Yersinia pestis biovar Microtus str. 91001	GCA_000007885.1_ASM788v1
HOT827 SEQF1565 3 5 1478	Yersinia pestis biovar Orientalis str. F1991016	GCA_000170275.1_ASM17027v1
HOT827 SEQF1562 3 6 1478	Yersinia pestis biovar Antiqua str. UG05-0454	GCA_000169615.1_ASM16961v1
HOT827 SEQF1055 1 6 1489	Yersinia pestis CO92	GCA_000009065.1_ASM906v1
HOT827 SEQF1566 6 6 1462	Yersinia pestis biovar Orientalis str. India 195	GCA_000182505.1_ASM18250v1
HOT827 SEQF1569 6 6 1462	Yersinia pestis biovar Orientalis str. PEXU2	GCA_000182525.1_ASM18252v1
HOT827 SEQF1564 6 7 1462	Yersinia pestis biovar Medievalis str. Harbin 35	GCA_000186725.1_ASM18672v1
HOT827 SEQF1560 1 5 1478	Yersinia pestis biovar Antiqua str. B42003004	GCA_000169675.1_ASM16967v1
HOT827 SEQF1561 1 5 1478	Yersinia pestis biovar Antiqua str. E1979001	GCA_000169695.1_ASM16969v1
HOT827 SEQF1563 1 2 1478	Yersinia pestis biovar Mediaevalis str. K1973002	GCA_000169655.1_ASM16965v1
HOT827 SEQF1844 7 7 1478	Yersinia pestis KIM D27	GCA_000182705.1_ASM18270v1
HOT827 SEQF1844 1 7 1478	Yersinia pestis KIM D27	GCA_000182705.1_ASM18270v1
HOT827 SEQF1568 3 3 1478	Yersinia pestis biovar Orientalis str. MG05-1020	GCA_000169635.1_ASM16963v1
HOT827 SEQF1099 6 7 1516	Yersinia pestis Pestoides F	GCA_000016445.1_ASM1644v1
HOT827 SEQF1099 7 7 1516	Yersinia pestis Pestoides F	GCA_000016445.1_ASM1644v1
HOT827 SEQF1054 4 7 1516	Yersinia pestis Antiqua	GCA_000013825.1_ASM1382v1
HOT827 SEQF1099 5 7 1516	Yersinia pestis Pestoides F	GCA_000016445.1_ASM1644v1
HOT827 SEQF1057 2 7 1516	Yersinia pestis Nepal516	GCA_000013805.1_ASM1380v1
HOT827 SEQF1054 2 7 1516	Yersinia pestis Antiqua	GCA_000013825.1_ASM1382v1
HOT827 SEQF1056 4 7 1585	Yersinia pestis KIM10+	GCA_000006645.1_ASM664v1
HOT827 SEQF1056 3 7 1585	Yersinia pestis KIM10+	GCA_000006645.1_ASM664v1
HOT827 SEQF2184 3 6 1546	Yersinia pestis A1122	GCA_000222975.1_ASM22297v1
HOT827 SEQF1556 3 7 1543	Yersinia pestis CA88-4125	GCA_000181455.2_ASM18145v2
HOT827 SEQF2184 5 6 1546	Yersinia pestis A1122	GCA_000222975.1_ASM22297v1
HOT827 SEQF1559 4 6 1330	Yersinia pestis Pestoides A	GCA_000182545.1_ASM18254v1
HOT827 SEQF1056 7 7 1585	Yersinia pestis KIM10+	GCA_000006645.1_ASM664v1
HOT827 SEQF1056 5 7 1585	Yersinia pestis KIM10+	GCA_000006645.1_ASM664v1
HOT827 SEQF1056 1 7 1585	Yersinia pestis KIM10+	GCA_000006645.1_ASM664v1
HOT827 SEQF1056 2 7 1585	Yersinia pestis KIM10+	GCA_000006645.1_ASM664v1
HOT827 SEQF1056 6 7 1585	Yersinia pestis KIM10+	GCA_000006645.1_ASM664v1
HOT827 SEQF2184 2 6 1546	Yersinia pestis A1122	GCA_000222975.1_ASM22297v1
HOT827 SEQF2184 4 6 1546	Yersinia pestis A1122	GCA_000222975.1_ASM22297v1
HOT827 SEQF2184 6 6 1546	Yersinia pestis A1122	GCA_000222975.1_ASM22297v1
HOT827 SEQF1054 6 7 1518	Yersinia pestis Antiqua	GCA_000013825.1_ASM1382v1
HOT827 SEQF1556 5 7 1543	Yersinia pestis CA88-4125	GCA_000181455.2_ASM18145v2
HOT827 SEQF1556 6 7 1543	Yersinia pestis CA88-4125	GCA_000181455.2_ASM18145v2
HOT827 SEQF1562 4 6 1362	Yersinia pestis biovar Antiqua str. UG05-0454	GCA_000169615.1_ASM16961v1
HOT827 SEQF2184 1 6 1546	Yersinia pestis A1122	GCA_000222975.1_ASM22297v1
HOT676 676-8582 1 1 1499	Proteus_mirabilis__HOT_676__Strain_ATCC_29906__GB_AF008582__Named__G__0	GCA_000222975.1_ASM22297v1
HOT676 SEQF2572 2 7 821		Proteus mirabilis BB2000	GCA_000444425.1_ASM44442v1
HOT676 SEQF1289 3 7 1542	Proteus mirabilis HI4320	GCA_000069965.1_ASM6996v1
HOT676 SEQF1289 7 7 1542	Proteus mirabilis HI4320	GCA_000069965.1_ASM6996v1
HOT676 SEQF1289 5 7 1542	Proteus mirabilis HI4320	GCA_000069965.1_ASM6996v1
HOT676 SEQF2393 2 6 1531	Proteus mirabilis WGLW4	GCA_000297835.1_Prot_mira_WGLW4_V1
HOT676 SEQF2393 3 6 1531	Proteus mirabilis WGLW4	GCA_000297835.1_Prot_mira_WGLW4_V1
HOT676 SEQF2393 1 6 1531	Proteus mirabilis WGLW4	GCA_000297835.1_Prot_mira_WGLW4_V1
HOT676 SEQF2572 4 7 1531	Proteus mirabilis BB2000	GCA_000444425.1_ASM44442v1
HOT676 SEQF2572 3 7 1531	Proteus mirabilis BB2000	GCA_000444425.1_ASM44442v1
HOT676 SEQF2394 1 2 1531	Proteus mirabilis WGLW6	GCA_000297815.1_Prot_mira_WGLW6_V1
HOT676 SEQF1289 6 7 1542	Proteus mirabilis HI4320	GCA_000069965.1_ASM6996v1
HOT676 SEQF1289 4 7 1542	Proteus mirabilis HI4320	GCA_000069965.1_ASM6996v1
HOT676 SEQF2394 2 2 1531	Proteus mirabilis WGLW6	GCA_000297815.1_Prot_mira_WGLW6_V1
HOT676 SEQF2572 7 7 1531	Proteus mirabilis BB2000	GCA_000444425.1_ASM44442v1
HOT676 SEQF1802 1 1 1531	Proteus mirabilis ATCC 29906	GCA_000160755.1_ASM16075v1
HOT676 SEQF2572 1 7 1531	Proteus mirabilis BB2000	GCA_000444425.1_ASM44442v1
HOT676 SEQF2572 5 7 1531	Proteus mirabilis BB2000	GCA_000444425.1_ASM44442v1
HOT676 SEQF2393 4 6 1531	Proteus mirabilis WGLW4	GCA_000297835.1_Prot_mira_WGLW4_V1
HOT676 SEQF2572 6 7 1531	Proteus mirabilis BB2000	GCA_000444425.1_ASM44442v1
HOT676 SEQF1289 1 7 1542	Proteus mirabilis HI4320	GCA_000069965.1_ASM6996v1
HOT676 SEQF1289 2 7 1542	Proteus mirabilis HI4320	GCA_000069965.1_ASM6996v1
HOT676 SEQF2393 5 6 1531	Proteus mirabilis WGLW4	GCA_000297835.1_Prot_mira_WGLW4_V1
HOT676 SEQF2393 6 6 1531	Proteus mirabilis WGLW4	GCA_000297835.1_Prot_mira_WGLW4_V1
HOT545 SEQF2750 2 6 1544	Aggregatibacter aphrophilus W10433	GCA_001262035.1_ASM126203v1
HOT545 SEQF2750 3 6 1544	Aggregatibacter aphrophilus W10433	GCA_001262035.1_ASM126203v1
HOT545 SEQF2750 5 6 1544	Aggregatibacter aphrophilus W10433	GCA_001262035.1_ASM126203v1
HOT545 SEQF2750 4 6 1544	Aggregatibacter aphrophilus W10433	GCA_001262035.1_ASM126203v1
HOT545 SEQF2750 6 6 1544	Aggregatibacter aphrophilus W10433	GCA_001262035.1_ASM126203v1
HOT545 SEQF2750 1 6 1544	Aggregatibacter aphrophilus W10433	GCA_001262035.1_ASM126203v1
HOT720 720-5042 1 1 1512	Aggregatibacter_paraphrophilus__HOT_720__Strain_ATCC_29241__GB_M75042__Named__G__4	GCA_001262035.1_ASM126203v1
HOT545 545-5041 1 2 1512	Aggregatibacter_aphrophilus__HOT_545__Strain_ATCC_33389__GB_M75041__Named__G__5	GCA_001262035.1_ASM126203v1
HOT545 SEQF1956 1 1 1610	Aggregatibacter aphrophilus ATCC 33389	GCA_000226495.3_ASM22649v3
HOT545 545F0387 2 2 1496	Aggregatibacter_aphrophilus__HOT_545__Strain_F0387__GB_tbd__Named__G__5	GCA_000226495.3_ASM22649v3
HOT545 SEQF1675 1 1 1528	Aggregatibacter aphrophilus F0387	GCA_000231255.1_Aggr_aphr_F0387_V1
HOT545 SEQF1221 3 6 1527	Aggregatibacter aphrophilus NJ8700	GCA_000022985.1_ASM2298v1
HOT545 SEQF1221 4 6 1527	Aggregatibacter aphrophilus NJ8700	GCA_000022985.1_ASM2298v1
HOT545 SEQF1221 5 6 1527	Aggregatibacter aphrophilus NJ8700	GCA_000022985.1_ASM2298v1
HOT949 949-6655 1 1 1378	Aggregatibacter_sp.__HOT_949__Clone_CCUG_36139__GB_JF506655__Phylotype__X__3	GCA_000022985.1_ASM2298v1
HOT898 898-Wade 2 2 1496	Aggregatibacter_sp.__HOT_898__Clone_HS19_2W_I12__GB_KC203060__Phylotype__X__4	GCA_000022985.1_ASM2298v1
HOT898 898-5716 1 2 1378	Aggregatibacter_sp.__HOT_898__Clone_ncd1799g05c1__GB_JF155716__Phylotype__X__4	GCA_000022985.1_ASM2298v1
HOT458 458JM053 1 1 1512	Aggregatibacter_sp.__HOT_458__Clone_JM053__GB_AY349380__Unnamed__G__5	GCA_000022985.1_ASM2298v1
HOT458 SEQF2445 1 1 1058	Aggregatibacter sp. oral taxon 458 str. W10330	GCA_000466335.1_ASM46633v1
HOT513 513-3635 1 1 1512	Aggregatibacter_sp.__HOT_513__Clone_MB3_C38__GB_DQ003635__Phylotype__X__4	GCA_000466335.1_ASM46633v1
HOT762 762-5043 1 1 1512	Aggregatibacter_segnis__HOT_762__Strain_ATCC_33393__GB_M75043__Named__G__4	GCA_000466335.1_ASM46633v1
HOT762 SEQF1957 1 1 1528	Aggregatibacter segnis ATCC 33393	GCA_000185305.1_ASM18530v1
HOT512 512-3621 1 1 1512	Aggregatibacter_sp.__HOT_512__Clone_MB3_C24__GB_DQ003621__Lost__X__4	GCA_000185305.1_ASM18530v1
HOT851 851F0397 1 1 1496	Haemophilus_haemolyticus__HOT_851__Strain_F0397__GB_HM596277__Named__G__5	GCA_000185305.1_ASM18530v1
HOT851 SEQF1850 1 1 1528	Haemophilus sp. oral taxon 851 str. F0397	GCA_000242295.1_ASM24229v1
HOT036 036-3900 2 2 1453	Haemophilus_sp.__HOT_036__Clone_ELU0098-000114__GB_HQ783900__Unnamed__X__5	GCA_000242295.1_ASM24229v1
HOT036 036-8981 1 2 1484	Haemophilus_sp.__HOT_036__Clone_16slp93-3e06.p1k__GB_GQ158981__Unnamed__X__5	GCA_000242295.1_ASM24229v1
HOT908 908-1362 2 2 1466	Haemophilus_sp.__HOT_908__Clone_ELU0149-000192__GB_HQ801362__Phylotype__X__4	GCA_000242295.1_ASM24229v1
HOT908 908-Wade 1 2 1496	Haemophilus_sp.__HOT_908__Clone_AL159__GB_JQ406529__Phylotype__X__4	GCA_000242295.1_ASM24229v1
HOT535 SEQF1963 2 2 1528	Haemophilus aegyptius ATCC 11116	GCA_000195005.1_ASM19500v1
HOT535 535-5044 1 1 1512	Haemophilus_aegyptius__HOT_535__Strain_NCTC_8502__GB_M75044__Named__G__3	GCA_000195005.1_ASM19500v1
HOT641 SEQF1237 1 2 1540	Haemophilus influenzae R3021	GCA_000169755.1_ASM16975v1
HOT641 641-5019 1 2 1512	Haemophilus_influenzae__HOT_641__Strain_ATCC_33391__GB_M35019__Named__G__4	GCA_000169755.1_ASM16975v1
HOT641 SEQF1227 1 6 1539	Haemophilus influenzae 86-028NP	GCA_000012185.1_ASM1218v1
HOT641 SEQF1227 3 6 1539	Haemophilus influenzae 86-028NP	GCA_000012185.1_ASM1218v1
HOT641 SEQF1227 5 6 1539	Haemophilus influenzae 86-028NP	GCA_000012185.1_ASM1218v1
HOT641 SEQF1227 6 6 1539	Haemophilus influenzae 86-028NP	GCA_000012185.1_ASM1218v1
HOT641 SEQF1227 2 6 1539	Haemophilus influenzae 86-028NP	GCA_000012185.1_ASM1218v1
HOT641 SEQF1112 2 4 1546	Haemophilus influenzae 7P49H1	GCA_000173315.1_ASM17331v1
HOT641 SEQF1231 6 6 1541	Haemophilus influenzae PittEE	GCA_000016465.1_ASM1646v1
HOT641 SEQF1231 2 6 1541	Haemophilus influenzae PittEE	GCA_000016465.1_ASM1646v1
HOT641 SEQF1231 4 6 1541	Haemophilus influenzae PittEE	GCA_000016465.1_ASM1646v1
HOT641 SEQF1231 3 6 1540	Haemophilus influenzae PittEE	GCA_000016465.1_ASM1646v1
HOT641 SEQF1231 5 6 1540	Haemophilus influenzae PittEE	GCA_000016465.1_ASM1646v1
HOT641 SEQF1231 1 6 1540	Haemophilus influenzae PittEE	GCA_000016465.1_ASM1646v1
HOT641 SEQF1235 5 6 1539	Haemophilus influenzae R2846	GCA_000165575.1_ASM16557v1
HOT641 SEQF1235 2 6 1539	Haemophilus influenzae R2846	GCA_000165575.1_ASM16557v1
HOT641 SEQF1235 4 6 1539	Haemophilus influenzae R2846	GCA_000165575.1_ASM16557v1
HOT641 SEQF1235 3 6 1539	Haemophilus influenzae R2846	GCA_000165575.1_ASM16557v1
HOT641 SEQF1235 6 6 1539	Haemophilus influenzae R2846	GCA_000165575.1_ASM16557v1
HOT641 SEQF1235 1 6 1539	Haemophilus influenzae R2846	GCA_000165575.1_ASM16557v1
HOT641 SEQF1232 5 6 1537	Haemophilus influenzae PittGG	GCA_000016485.1_ASM1648v1
HOT641 SEQF1227 4 6 1539	Haemophilus influenzae 86-028NP	GCA_000012185.1_ASM1218v1
HOT641 SEQF1232 3 6 1540	Haemophilus influenzae PittGG	GCA_000016485.1_ASM1648v1
HOT641 SEQF1232 2 6 1540	Haemophilus influenzae PittGG	GCA_000016485.1_ASM1648v1
HOT641 SEQF1232 1 6 1540	Haemophilus influenzae PittGG	GCA_000016485.1_ASM1648v1
HOT641 SEQF1232 6 6 1540	Haemophilus influenzae PittGG	GCA_000016485.1_ASM1648v1
HOT641 SEQF1232 4 6 1540	Haemophilus influenzae PittGG	GCA_000016485.1_ASM1648v1
HOT641 641-3619 2 2 1513	Haemophilus_influenzae__HOT_641__Strain_M3669__GB_AY613619__Named__G__4	GCA_000016485.1_ASM1648v1
HOT641 SEQF2052 4 6 1539	Haemophilus influenzae Rd KW20	GCA_000027305.1_ASM2730v1
HOT641 SEQF2052 3 6 1539	Haemophilus influenzae Rd KW20	GCA_000027305.1_ASM2730v1
HOT641 SEQF2052 2 6 1539	Haemophilus influenzae Rd KW20	GCA_000027305.1_ASM2730v1
HOT641 SEQF2052 5 6 1539	Haemophilus influenzae Rd KW20	GCA_000027305.1_ASM2730v1
HOT641 SEQF2052 1 6 1539	Haemophilus influenzae Rd KW20	GCA_000027305.1_ASM2730v1
HOT641 SEQF2052 6 6 1539	Haemophilus influenzae Rd KW20	GCA_000027305.1_ASM2730v1
HOT641 SEQF1234 5 6 1546	Haemophilus influenzae PittII	GCA_000169835.1_ASM16983v1
HOT641 SEQF1236 2 6 1539	Haemophilus influenzae R2866	GCA_000165525.1_ASM16552v1
HOT641 SEQF1236 4 6 1539	Haemophilus influenzae R2866	GCA_000165525.1_ASM16552v1
HOT641 SEQF1236 1 6 1539	Haemophilus influenzae R2866	GCA_000165525.1_ASM16552v1
HOT641 SEQF1236 3 6 1539	Haemophilus influenzae R2866	GCA_000165525.1_ASM16552v1
HOT641 SEQF1236 6 6 1539	Haemophilus influenzae R2866	GCA_000165525.1_ASM16552v1
HOT641 SEQF1236 5 6 1539	Haemophilus influenzae R2866	GCA_000165525.1_ASM16552v1
HOT641 SEQF1223 4 5 1546	Haemophilus influenzae 22.1-21	GCA_000169735.1_ASM16973v1
HOT641 SEQF1223 5 5 1546	Haemophilus influenzae 22.1-21	GCA_000169735.1_ASM16973v1
HOT641 SEQF1223 2 5 1546	Haemophilus influenzae 22.1-21	GCA_000169735.1_ASM16973v1
HOT641 SEQF1223 1 5 1544	Haemophilus influenzae 22.1-21	GCA_000169735.1_ASM16973v1
HOT641 SEQF1223 3 5 1545	Haemophilus influenzae 22.1-21	GCA_000169735.1_ASM16973v1
HOT641 SEQF1111 3 6 1545	Haemophilus influenzae 6P18H1	GCA_000173335.1_ASM17333v1
HOT641 SEQF1226 1 6 1546	Haemophilus influenzae 3655	GCA_000169775.1_ASM16977v1
HOT535 SEQF1963 1 2 976		Haemophilus aegyptius ATCC 11116	GCA_000195005.1_ASM19500v1
HOT641 SEQF1224 1 1 924		Haemophilus influenzae 22.4-21	GCA_000169855.1_ASM16985v1
HOT641 SEQF1233 2 2 1064	Haemophilus influenzae PittHH	GCA_000169815.1_ASM16981v1
HOT531 SEQF2438 1 1 1550	Aggregatibacter actinomycetemcomitans serotype b str. SCC4092	GCA_000332935.2_AaSCC4092v2.0
HOT531 SEQF1074 2 6 1553	Aggregatibacter actinomycetemcomitans HK1651	GCA_000604045.1_ASM60404v1
HOT531 SEQF1074 5 6 1553	Aggregatibacter actinomycetemcomitans HK1651	GCA_000604045.1_ASM60404v1
HOT531 SEQF1074 6 6 1554	Aggregatibacter actinomycetemcomitans HK1651	GCA_000604045.1_ASM60404v1
HOT531 SEQF1074 1 6 1553	Aggregatibacter actinomycetemcomitans HK1651	GCA_000604045.1_ASM60404v1
HOT531 SEQF1074 4 6 1550	Aggregatibacter actinomycetemcomitans HK1651	GCA_000604045.1_ASM60404v1
HOT531 531-5035 1 2 1496	Aggregatibacter_actinomycetemcomitans__HOT_531__Strain_FDC_Y4__GB_M75035__Named__G__3	GCA_000604045.1_ASM60404v1
HOT531 SEQF2034 2 2 1459	Aggregatibacter actinomycetemcomitans serotype b str. SCC1398	GCA_000226815.3_AaSCC1398v2.0
HOT531 SEQF1074 3 6 1554	Aggregatibacter actinomycetemcomitans HK1651	GCA_000604045.1_ASM60404v1
HOT531 SEQF2437 1 1 1550	Aggregatibacter actinomycetemcomitans serotype b str. S23A	GCA_000332955.2_AaS23Av2.0
HOT531 SEQF2033 1 1 1550	Aggregatibacter actinomycetemcomitans serotype b str. I23C	GCA_000226835.3_AaI23Cv2.0
HOT531 SEQF1953 5 6 1528	Aggregatibacter actinomycetemcomitans ANH9381	GCA_000241025.2_ASM24102v2
HOT531 SEQF1953 6 6 1528	Aggregatibacter actinomycetemcomitans ANH9381	GCA_000241025.2_ASM24102v2
HOT531 SEQF1953 3 6 1528	Aggregatibacter actinomycetemcomitans ANH9381	GCA_000241025.2_ASM24102v2
HOT531 SEQF1953 4 6 1528	Aggregatibacter actinomycetemcomitans ANH9381	GCA_000241025.2_ASM24102v2
HOT531 SEQF1953 1 6 1528	Aggregatibacter actinomycetemcomitans ANH9381	GCA_000241025.2_ASM24102v2
HOT531 SEQF1953 2 6 1528	Aggregatibacter actinomycetemcomitans ANH9381	GCA_000241025.2_ASM24102v2
HOT531 SEQF1894 1 1 1529	Aggregatibacter actinomycetemcomitans Y4	GCA_000318155.1_ASM31815v1
HOT531 SEQF1955 1 1 1542	Aggregatibacter actinomycetemcomitans D17P-3	GCA_000240985.3_AaD17P-3v2.0
HOT531 SEQF2250 1 1 1542	Aggregatibacter actinomycetemcomitans serotype d str. I63B	GCA_000226735.3_AaI63Bv2.0
HOT531 SEQF2436 1 1 1542	Aggregatibacter actinomycetemcomitans serotype a str. A160	GCA_000332915.2_AaA160v2.0
HOT531 SEQF2032 1 1 1542	Aggregatibacter actinomycetemcomitans serotype a str. H5P1	GCA_000226715.3_AaH5P-1v2.0
HOT531 SEQF2296 1 1 1542	Aggregatibacter actinomycetemcomitans serotype e str. SCC393	GCA_000226775.3_AaSCC393v2.0
HOT531 SEQF1845 2 6 1528	Aggregatibacter actinomycetemcomitans D7S-1	GCA_000163615.2_ASM16361v2
HOT531 SEQF1845 6 6 1528	Aggregatibacter actinomycetemcomitans D7S-1	GCA_000163615.2_ASM16361v2
HOT531 SEQF1845 4 6 1528	Aggregatibacter actinomycetemcomitans D7S-1	GCA_000163615.2_ASM16361v2
HOT531 SEQF1845 3 6 1528	Aggregatibacter actinomycetemcomitans D7S-1	GCA_000163615.2_ASM16361v2
HOT531 SEQF1845 5 6 1528	Aggregatibacter actinomycetemcomitans D7S-1	GCA_000163615.2_ASM16361v2
HOT531 SEQF1845 1 6 1528	Aggregatibacter actinomycetemcomitans D7S-1	GCA_000163615.2_ASM16361v2
HOT531 SEQF2294 1 1 1542	Aggregatibacter actinomycetemcomitans serotype f str. D18P1	GCA_000226795.3_AaD18P-1v2.0
HOT531 SEQF2297 1 1 1542	Aggregatibacter actinomycetemcomitans serotype c str. SCC2302	GCA_000226855.3_AaSCC2302v2.0
HOT531 SEQF1954 1 1 1542	Aggregatibacter actinomycetemcomitans serotype c str. D17P-2	GCA_000241005.3_AaD17P-2v2.0
HOT531 SEQF2439 1 1 1542	Aggregatibacter actinomycetemcomitans serotype c str. AAS4A	GCA_000332895.2_AaAAS4av2.0
HOT531 531-5039 2 2 1496	Aggregatibacter_actinomycetemcomitans__HOT_531__Strain_ATCC_33384__GB_M75039__Named__G__3	GCA_000332895.2_AaAAS4av2.0
HOT531 SEQF1707 2 6 1485	Aggregatibacter actinomycetemcomitans D11S-1	GCA_000146265.2_ASM14626v2
HOT531 SEQF1707 5 6 1485	Aggregatibacter actinomycetemcomitans D11S-1	GCA_000146265.2_ASM14626v2
HOT531 SEQF1707 1 6 1485	Aggregatibacter actinomycetemcomitans D11S-1	GCA_000146265.2_ASM14626v2
HOT531 SEQF1707 4 6 1485	Aggregatibacter actinomycetemcomitans D11S-1	GCA_000146265.2_ASM14626v2
HOT531 SEQF1707 6 6 1485	Aggregatibacter actinomycetemcomitans D11S-1	GCA_000146265.2_ASM14626v2
HOT531 SEQF1707 3 6 1485	Aggregatibacter actinomycetemcomitans D11S-1	GCA_000146265.2_ASM14626v2
HOT531 SEQF2295 1 1 1480	Aggregatibacter actinomycetemcomitans serotype e str. SC1083	GCA_000226755.2_ASM22675v2
HOT946 SEQF2775 3 7 1541	Haemophilus pittmaniae HK 85	GCA_000223275.2_ASM22327v1
HOT946 SEQF2775 7 7 1540	Haemophilus pittmaniae HK 85	GCA_000223275.2_ASM22327v1
HOT946 SEQF2775 5 7 1540	Haemophilus pittmaniae HK 85	GCA_000223275.2_ASM22327v1
HOT946 946-0755 1 1 1465	Haemophilus_pittmaniae__HOT_946__Strain_CCUG_48703__GB_AJ290755__Named__G__4	GCA_000223275.2_ASM22327v1
HOT946 SEQF2775 1 7 1541	Haemophilus pittmaniae HK 85	GCA_000223275.2_ASM22327v1
HOT946 SEQF2775 6 7 1541	Haemophilus pittmaniae HK 85	GCA_000223275.2_ASM22327v1
HOT946 SEQF2775 4 7 1541	Haemophilus pittmaniae HK 85	GCA_000223275.2_ASM22327v1
HOT946 SEQF2775 2 7 1541	Haemophilus pittmaniae HK 85	GCA_000223275.2_ASM22327v1
HOT718 SEQF2077 1 1 1528	Haemophilus parainfluenzae ATCC 33392	GCA_000191405.1_ASM19140v1
HOT718 718-3530 1 1 1496	Haemophilus_parainfluenzae__HOT_718__Strain_CIP_102513__GB_EU083530__Named__G__6	GCA_000191405.1_ASM19140v1
HOT718 SEQF2350 1 1 1541	Haemophilus parainfluenzae HK262	GCA_000259485.1_HparainfluenzaeHK262v1.0
HOT718 SEQF2349 1 1 1541	Haemophilus parainfluenzae HK2019	GCA_000261285.1_HparainfluenzaeHK2019v1.0
HOT944 SEQF2776 3 3 1019	Haemophilus sputorum HK 2154	GCA_000287615.1_HsputHK2154v1.0
HOT944 SEQF2776 2 3 1019	Haemophilus sputorum HK 2154	GCA_000287615.1_HsputHK2154v1.0
HOT944 SEQF2776 1 3 1019	Haemophilus sputorum HK 2154	GCA_000287615.1_HsputHK2154v1.0
HOT944 944-6642 1 1 1380	Haemophilus_sputorum__HOT_944__Strain_CCUG_13788__GB_JF506642__Named__G__5	GCA_000287615.1_HsputHK2154v1.0
HOT821 821-3483 1 1 1513	Haemophilus_ducreyi__HOT_821__Strain_ATCC_33921__GB_AY513483__Named__G__0	GCA_000287615.1_HsputHK2154v1.0
HOT821 SEQF1027 1 6 1537	Haemophilus ducreyi 35000HP	GCA_000007945.1_ASM794v1
HOT821 SEQF1027 5 6 1537	Haemophilus ducreyi 35000HP	GCA_000007945.1_ASM794v1
HOT821 SEQF1027 6 6 1537	Haemophilus ducreyi 35000HP	GCA_000007945.1_ASM794v1
HOT821 SEQF1027 2 6 1537	Haemophilus ducreyi 35000HP	GCA_000007945.1_ASM794v1
HOT821 SEQF1027 3 6 1537	Haemophilus ducreyi 35000HP	GCA_000007945.1_ASM794v1
HOT821 SEQF1027 4 6 1537	Haemophilus ducreyi 35000HP	GCA_000007945.1_ASM794v1
HOT945 945-5384 1 2 1512	Haemophilus_parahaemolyticus__HOT_945__Strain_G321__GB_LK985384__Named__G__5	GCA_000007945.1_ASM794v1
HOT945 945-5746 2 2 1463	Haemophilus_parahaemolyticus__HOT_945__Strain_NCTC_8479__GB_AJ295746__Named__G__5	GCA_000007945.1_ASM794v1
HOT945 SEQF2774 1 1 1541	Haemophilus parahaemolyticus HK385	GCA_000262265.1_ASM26226v1
HOT035 035-8142 1 2 1378	Haemophilus_paraphrohaemolyticus__HOT_035__Clone_NCTC_10670__GB_NR_118142__Named__X__5	GCA_000262265.1_ASM26226v1
HOT035 035-3523 2 2 1470	Haemophilus_paraphrohaemolyticus__HOT_035__Clone_ELU0153-000341__GB_HQ803523__Named__X__5	GCA_000262265.1_ASM26226v1
HOT649 649-9286 1 1 1497	Neisseria_lactamica__HOT_649__Strain_NCTC_10617__GB_AJ239286__Named__G__2	GCA_000262265.1_ASM26226v1
HOT649 SEQF2159 3 4 986		Neisseria lactamica 020-06	GCA_000196295.1_ASM19629v1
HOT649 SEQF2159 2 4 986		Neisseria lactamica 020-06	GCA_000196295.1_ASM19629v1
HOT649 SEQF2159 4 4 986		Neisseria lactamica 020-06	GCA_000196295.1_ASM19629v1
HOT764 764-9292 1 1 1497	Neisseria_sicca__HOT_764__Strain_Q13__GB_AJ239292__Named__G__4	GCA_000196295.1_ASM19629v1
HOT609 609-9301 1 1 1497	Neisseria_flava__HOT_609__Strain_U40__GB_AJ239301__Named__X__5	GCA_000196295.1_ASM19629v1
HOT682 682-9282 1 1 1497	Neisseria_mucosa__HOT_682__Strain_LNP405__GB_AJ239282__Named__G__5	GCA_000196295.1_ASM19629v1
HOT729 729-9281 1 1 1497	Neisseria_pharyngis__HOT_729__Strain_NCTC_4590__GB_AJ239281__Named__X__4	GCA_000196295.1_ASM19629v1
HOT764 SEQF1264 1 1 1529	Neisseria sicca ATCC 29256	GCA_000174655.1_ASM17465v1
HOT682 SEQF1175 1 1 1529	Neisseria mucosa ATCC 25996	GCA_000173875.1_ASM17387v1
HOT610 SEQF1195 1 1 1529	Neisseria flavescens NRL30031/H210	GCA_000173935.1_ASM17393v1
HOT610 SEQF1790 4 4 1546	Neisseria flavescens SK114	GCA_000175275.1_ASM17527v1
HOT610 SEQF1790 2 4 1544	Neisseria flavescens SK114	GCA_000175275.1_ASM17527v1
HOT610 SEQF1790 1 4 1544	Neisseria flavescens SK114	GCA_000175275.1_ASM17527v1
HOT610 SEQF1790 3 4 1544	Neisseria flavescens SK114	GCA_000175275.1_ASM17527v1
HOT610 610-1998 1 1 1464	Neisseria_flavescens__HOT_610__Clone_P1D1-762__GB_EF511998__Named__G__6	GCA_000175275.1_ASM17527v1
HOT476 SEQF1165 1 1 1529	Neisseria subflava NJ9703	GCA_000173955.1_ASM17395v1
HOT682 SEQF2142 1 1 1529	Neisseria mucosa C102	GCA_000186165.1_Neis_muco_C102_V1
HOT476 476-9291 1 1 1497	Neisseria_subflava__HOT_476__Strain_U37__GB_AJ239291__Named__G__5	GCA_000186165.1_Neis_muco_C102_V1
HOT092 092-0738 1 1 1509	Neisseria_weaveri__HOT_092__Strain_CDC_8142__GB_L10738__Named__G__2	GCA_000186165.1_Neis_muco_C102_V1
